NO	오일명(국문)	오일명(영문)	10ml	100ml	500ml	오일 설명
17	레몬	Lemon	3,200 	19,200 	49,000 	면역 강화와 소화 촉진. 밝은 시트러스 향으로 피로 회복과 피부 톤 개선에 좋으며, 디퓨저나 세정제로 사용하세요. 빛 민감성 주의.
21	시더우드	Cedarwood	3,200 	19,200 	49,000 	grounding과 호흡기 지원. 따뜻한 나무 향으로 불안 완화와 탈모 예방에 도움을 주며, 헤어 오일로 희석해 사용하세요.
23	시나먼바크	Cinnamon Bark	3,200 	19,200 	49,000 	면역 강화와 소화 촉진. 따뜻한 향으로 혈당 조절과 에너지 부스트에 효과적이며, 차나 마사지로 활용. 피부 자극 가능.
25	시트로넬라	Citronella	3,200 	19,200 	49,000 	곤충 퇴치와 진정. 레몬 같은 향으로 스트레스 완화와 피부 케어에 좋으며, 스프레이로 여름철 사용하세요.
33	라임	Lime	3,200 	19,200 	49,000 	항균과 피로 회복. 신선한 향으로 정신 맑음과 소화 지원에 탁월하며, 디퓨저에 3방울로 에너지 충전. 빛 민감성 주의.
53	아니스	Anise	3,200 	19,200 	49,000 	소화 촉진과 항균. 감미로운 향으로 위장 진정과 호흡기 지원에 좋으며, 차나 디퓨저로 사용하세요.
34	만다린	Mandarin	3,300 	19,800 	51,000 	불안 완화와 소화 지원. 부드러운 오렌지 향으로 임산부 안전하며, 목욕 오일로 이완하세요.
3	티트리	Tea Tree	3,500 	21,000 	55,000 	항균과 피부 청결. 여드름과 곰팡이 치료에 효과적이며, 희석 후 스팟 트리트먼트로 사용하세요.
5	로즈마리	Rosemary	3,600 	21,600 	55,000 	집중력 향상과 모발 케어. 허브 향으로 기억력 강화와 두피 건강에 좋으며, 샴푸에 추가하세요.
8	스윗오렌지	Sweet Orange	3,500 	21,000 	55,000 	면역 강화와 피부 톤 개선. 달콤한 향으로 기분 고양과 항산화에 탁월하며, 디퓨저로 일상 사용.
						
4	페퍼민트	Peppermint	3,700 	21,600 	57,000 	두통과 소화 촉진. 민트 향으로 에너지 부스트와 메스꺼움 완화에 효과적이며, 디퓨저나 복부 마사지로 사용하세요. 피부 자극 주의.
24	시나먼리프	Cinnamon Leaf	3,700 	22,200 	57,000 	항균과 에너지. 시나몬 잎 향으로 순환 촉진과 피로 회복에 좋으며, 차나 디퓨저로 활용. 임산부 피하세요.
68	엘레미	Elemi	3,700 	22,200 	57,000 	피부 치유와 명상. 레몬 같은 우디 향으로 상처 회복과 스트레스 감소에 도움을 주며, 스킨케어 크림에 희석하세요.
37	팔마로사	Palmarosa	3,900 	23,400 	60,000 	피부 보습과 진정. 로즈 같은 풀 향으로 건성 피부 케어와 불안 완화에 탁월하며, 로션에 추가하세요.
14	멜리사	Melissa	3,900 	23,400 	61,000 	진정과 항바이러스. 레몬밤 향으로 불안과 감기 증상에 효과적이며, 디퓨저로 수면 유도하세요.
6	버가못	Bergamot	4,200 	25,200 	64,000 	스트레스 완화와 소화. 시트러스 향으로 우울증 완화와 피부 미백에 좋으며, 아로마 램프에 사용. 빛 민감성 주의.
27	사이프러스	Cypress	4,200 	25,200 	64,000 	순환 촉진과 불안 완화. 청량한 나무 향으로 부종 감소와 감정 균형에 도움을 주며, 다리 마사지 오일로 추천.
52	코리앤더	Coriander	4,200 	25,200 	64,000 	소화불량 완화와 피부 케어. 스파이시 허브 향으로 가스 완화와 항균에 효과적이며, 소화 차로 사용하세요.
35	메이창	May Chang	4,300 	25,800 	66,000 	호흡기 진정과 피부 케어. 레몬 유칼립투스 향으로 기침 완화와 피부 진정에 좋으며, 디퓨저로 호흡기 케어.
2	라벤더	Lavender	4,400 	26,400 	68,000 	불안 완화와 피부 진정. 부드러운 꽃향으로 수면 유도와 상처 치유에 탁월하며, 베개 스프레이로 사용하세요.
7	일랑일랑	Ylang Ylang	4,400 	26,400 	68,000 	호르몬 균형과 스트레스 감소. 달콤한 플로럴 향으로 혈압 조절과 피부 탄력에 도움을 주며, 로맨틱 아로마로 추천.
16	타임	Thyme	4,400 	26,400 	68,000 	호흡기와 항균 효과. 강한 허브 향으로 기침과 감염 예방에 좋으며, 디퓨저나 세정제로 활용하세요.
19	바질	Basil	4,400 	26,400 	68,000 	소화와 근육 이완. 상큼한 허브 향으로 두통 완화와 정신 맑음에 효과적이며, 마사지 오일로 사용.
55	니아울리	Niaouli	4,400 	26,400 	68,000 	호흡기와 피부 치유. 유칼립투스 같은 향으로 축농증과 여드름 케어에 탁월하며, 스팀 인할레이션 추천.
56	투메릭	Turmeric	4,400 	26,400 	68,000 	항염증과 피부 밝기. 지구 같은 강한 향으로 관절염 완화와 피부 톤 개선에 좋으며, 마스크에 희석하세요.
58	전나무	Fir	4,400 	26,400 	68,000 	호흡기와 에너지 부스트. 전나무 향으로 공기 정화와 면역 지원에 효과적이며, 겨울 디퓨저로 사용.
62	비터오렌지	Bitter Orange	4,400 	26,400 	68,000 	소화 촉진과 기분 향상. 쓴 오렌지 향으로 해독과 에너지에 도움을 주며, 디퓨저로 기분 전환.
74	레몬버베나	Lemon Verbena	4,400 	26,400 	68,000 	진정과 소화 완화. 레몬 허브 향으로 불안과 소화불량에 좋으며, 차나 디퓨저로 활용하세요.
42	스피아민트	Spearmint	4,600 	27,600 	70,000 	정신 맑음과 피부 진정. 부드러운 민트 향으로 두통 완화와 피부 케어에 탁월하며, 스프레이로 사용.
72	편백	Hinoki	4,600 	27,600 	70,000 	이완과 호흡기 지원. 일본 편백 향으로 스트레스 감소와 호흡기 청소에 효과적이며, 목욕 오일 추천.
						
73	유자	Yuzu	4,600 	27,600 	70,000 	피부 미백과 항산화. 상큼한 유자 향으로 비타민 C 효과와 피부 탄력에 좋으며, 세안 오일로 희석 사용하세요. 빛 민감성 주의.
31	주니퍼베리	Juniper Berry	4,700 	28,200 	72,000 	해독과 관절통 완화. 베리 나무 향으로 부종 감소와 디톡스에 탁월하며, 다리 마사지로 추천.
32	주니퍼리프	Juniper Leaf	4,900 	29,400 	76,000 	소화와 피부 청결. 잎 나무 향으로 소화불량과 피부 여드름 케어에 효과적이며, 디퓨저로 활용.
40	로즈우드	Rosewood	4,900 	29,400 	76,000 	감정 균형과 피부 케어. 부드러운 우디 향으로 스트레스 완화와 주름 방지에 좋으며, 페이스 오일로 사용.
66	베이리프	Bay Leaf	4,900 	29,400 	76,000 	호흡기와 두통 완화. 베이 리프 스파이시 향으로 기침과 두통에 도움을 주며, 디퓨저나 차로.
67	베이로렐	Bay Laurel	4,900 	29,400 	76,000 	정신 맑음과 소화. 로렐 스파이시 향으로 집중력 향상과 소화 촉진에 효과적이며, 공부 아로마 추천.
64	넛맥	Nutmeg	5,200 	31,200 	83,000 	피로와 소화 완화. 고급 스파이시 향으로 피로 회복과 소화에 좋으며, 마사지 오일로 희석.
71	캐저풋	Cajeput	5,400 	32,400 	83,000 	호흡기와 피부. 유칼립투스 같은 어시 향으로 감기와 피부 감염 케어에 탁월하며, 스팀으로 사용.
79	히솝	Hyssop	5,400 	32,400 	83,000 	호흡기 지원과 정신 안정. 허브 향으로 기침 완화와 불안 감소에 도움을 주며, 디퓨저 추천.
46	페티그레인	Petitgrain	5,600 	33,600 	87,000 	스트레스와 피부. 오렌지 잎 어시 향으로 불안 완화와 피부 톤 개선에 좋으며, 스킨케어에 추가.
69	야로우	Yarrow	6,100 	36,600 	94,500 	염증 완화와 순환. 허브 어시 향으로 피부염과 순환 촉진에 효과적이며, 마사지 오일로.
13	마조람	Marjoram	6,400 	38,400 	98,000 	불안과 근육통 완화. 부드러운 허브 향으로 신경계 안정과 근육 이완에 탁월하며, 목욕에 사용.
61	벤조인	Benzoin	5,300 	31,800 	98,000 	기침과 스트레스 완화. 바닐라 같은 레진 향으로 호흡기와 피부 치유에 좋으며, 디퓨저로.
28	펜넬	Fennel	5,000 	30,000 	100,000 	소화 촉진과 호르몬 균형. 아니스 같은 허브 향으로 가스 완화와 월경통에 효과적이며, 차로.
63	라벤더스파이크	Lavender Spike	6,300 	37,800 	106,000 	근육 이완과 호흡기 지원. 두통 완화와 기침 해소에 좋으며, 마사지 오일이나 디퓨저로 활용하세요. 캄포 함량 높아 피부 자극 주의.
49	진저	Ginger	5,300 	31,800 	106,000 	메스꺼움과 소화 촉진. 매운 진저 향으로 메스꺼움 완화와 순환에 도움을 주며, 복부 마사지 추천.
70	아미루스	Amyris	6,300 	37,800 	106,000 	진정과 피부 보호. 샌달 같은 우디 향으로 스트레스 감소와 피부 케어에 좋으며, 나이트 오일로.
57	헬리크리섬	Helichrysum	6,000 	36,000 	121,000 	상처 치유와 염증 완화. 허브 어시 향으로 흉터와 관절염에 탁월하며, 희석 후 스팟 적용.
54	라반딘	Lavandin	6,200 	37,200 	125,000 	근육 이완과 호흡기. 라벤더 같은 강한 플로럴 향으로 스트레스와 기침 완화에 효과적이며, 디퓨저로.
10	네롤리	Neroli	6,600 	39,600 	132,000 	피부 재생과 불면증 개선. 꽃향기 향으로 감정 안정과 피부 재생에 좋으며, 페이스 미스트로.
20	블랙페퍼	Black Pepper	6,600 	39,600 	132,000 	순환과 근육통 완화. 매운 페퍼 향으로 소화와 근육통에 도움을 주며, 마사지 오일로 희석.
						
36	미르	Myrrh	6,800 	40,800 	136,000 	구강과 피부 치유. 따뜻한 레진 향으로 상처 회복과 구강 염증에 효과적이며, 치약이나 스킨케어에 희석.
82	딜씨드	Dill Seed	7,300 	43,800 	145,000 	소화와 가스 완화. 허브 씨앗 향으로 팽만감과 소화불량에 좋으며, 차나 복부 마사지로.
38	패츌리	Patchouli	7,400 	44,400 	147,000 	grounding과 피부 치유. 흙 같은 어시 향으로 스트레스 감소와 피부 재생에 탁월하며, 헤어 오일로.
65	안젤리카	Angelica	7,500 	45,000 	151,000 	해독과 소화. 뿌리 어시 향으로 디톡스와 소화 촉진에 도움을 주며, 디퓨저로 사용.
81	카다몬	Cardamon	7,600 	45,600 	151,000 	소화불량과 피로 회복. 카다몬 스파이시 향으로 위장 진정과 에너지 부스트에 좋으며, 차로.
51	베티버	Vetiver	7,900 	47,400 	159,000 	grounding과 스트레스 완화. 흙 같은 우디 향으로 불안과 피부 케어에 효과적이며, 디퓨저 추천.
60	머틀	Myrtle	7,900 	47,400 	159,000 	호흡기와 피부. 베리 어시 향으로 기침 완화와 피부 청결에 탁월하며, 스팀 인할레이션으로.
76	오스만투스	Osmanthus	8,000 	48,000 	177,000 	피부 재생과 기분 향상. 복숭아 꽃 향으로 주름 방지와 우울증 완화에 좋으며, 페이스 크림에.
48	캐롯시드	Carrot Seed	8,100 	48,600 	180,000 	피부 재생과 해독. 당근 씨앗 어시 향으로 항노화와 피부 톤 개선에 효과적이며, 스킨케어 오일로.
26	클라리세이즈	Clary Sage	8,400 	50,400 	187,000 	월경통 완화와 스트레스 감소. 허브 플로럴 향으로 호르몬 균형과 불안에 도움을 주며, 마사지 추천.
29	프랑킨센스	Frankincense	9,400 	56,400 	209,000 	명상과 피부 탄력. 고대 레진 향으로 주름 방지와 정신 안정에 탁월하며, 요가 디퓨저로.
77	시스투스	Cistus	9,400 	56,400 	209,000 	피부 재생과 명상. 로즈 같은 레진 향으로 흉터 치유와 스트레스 완화에 좋으며, 스킨케어에.
30	자스민삼박	Jasmine Sambac	10,400 	62,400 	232,000 	우울증 완화와 피부 미백. 풍부한 재스민 향으로 호르몬 균형과 피부 밝기에 효과적이며, 밤 크림으로.
78	캣닢	Catnip	11,000 	66,000 	246,000 	진정과 소화. 캣닢 어시 향으로 불안과 위장 문제에 도움을 주며, 디퓨저로 사용.
15	제라늄	Geranium	11,300 	67,800 	251,000 	호르몬 균형과 피부 케어. 장미 같은 플로럴 향으로 피부 탄력과 스트레스 감소에 탁월하며, 마사지 오일로.
45	로즈제라늄	Rose Geranium	11,300 	67,800 	251,000 	피부 탄력과 스트레스 완화. 장미 제라늄 향으로 여드름과 호르몬 불균형에 좋으며, 페이스 오일 추천.
41	샌달우드	Sandalwood	11,600 	69,600 	258,000 	명상과 피부 재생. 따뜻한 샌달 향으로 grounding과 주름 방지에 효과적이며, 디퓨저로.
						
22	캐모마일저먼	Chamomile German	13,000 	78,000 	322,000 	소화와 염증 완화. 부드러운 사과 꽃 향으로 피부염과 소화불량에 탁월하며, 희석 후 스킨케어나 차로 사용하세요. 어린이/임산부 안전.
39	로즈	Rose	15,000 	90,000 	386,000 	피부 재생과 호르몬 균형. 고급스러운 로즈 향으로 주름 방지와 우울증 완화에 효과적이며, 고가이니 소량 페이스 오일로 추천.
44	오레가노	Oregano	19,300 	115,800 	554,000 	항균과 면역 강화. 강한 허브 향으로 감기와 감염 예방에 강력하며, 희석 필수로 내부/외부 사용. 고농도 자극 주의.

